DisplayName,Types,Latitude,Longitude,Rating,UserRatingCount,FormattedAddress,WebsiteUri,InternationalPhoneNumber,PriceLevel,EditorialSummary,OpenNow,WeekdayDescriptions
Maison Louvard,"['bakery', 'french_restaurant', 'food_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.875723699999995,2.3406146,4.1,1528.0,"11 Rue de Châteaudun, 75009 Paris, France",https://maisonlouvard.fr/,+33 1 81 70 75 77,PRICE_LEVEL_MODERATE,,True,"['Monday: 7:00\u202fAM\u2009–\u20098:30\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200911:30\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200911:30\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200911:30\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: Closed']"
Boris Boulangerie,"['bakery', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",48.8889874,2.334805,4.6,1909.0,"48 Rue Caulaincourt, 75018 Paris, France",https://instagram.com/boris_lume,,PRICE_LEVEL_MODERATE,,True,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20097:00\u202fPM']"
Partisan Café Artisanal,"['coffee_shop', 'cafe', 'bakery', 'dessert_shop', 'confectionery', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",48.864681,2.353093,4.3,1499.0,"36 R. de Turbigo, 75003 Paris, France",https://www.partisancafeartisanal.com/,+33 6 08 25 88 32,PRICE_LEVEL_MODERATE,,True,"['Monday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20096:30\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20096:30\u202fPM']"
Carrefour Market,"['supermarket', 'bakery', 'home_goods_store', 'grocery_store', 'food_store', 'market', 'store', 'food', 'point_of_interest', 'establishment']",48.853564999999996,2.3371147,4.0,2027.0,"79 Rue de Seine, 75006 Paris, France",https://www.carrefour.fr/magasin/market-paris-seine,+33 1 43 25 65 03,,,True,"['Monday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 1:15\u2009–\u20099:00\u202fPM']"
Mamiche,"['bakery', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",48.8706034,2.3597106,4.7,1404.0,"32 Rue du Château d'Eau, 75010 Paris, France",https://www.mamiche.fr/,+33 1 42 08 42 02,,,True,"['Monday: Closed', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']"
Shakespeare and Company,"['book_store', 'tourist_attraction', 'store', 'point_of_interest', 'establishment']",48.8525632,2.3471303,4.6,23308.0,"37 Rue de la Bûcherie, 75005 Paris, France",https://www.shakespeareandcompany.com/,+33 1 43 25 40 93,,"Iconic, English-language bookstore stocking new & used titles in bohemian surrounds since 1951.",True,"['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 12:00\u2009–\u20097:00\u202fPM']"
Fnac,"['department_store', 'cell_phone_store', 'electronics_store', 'book_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",48.8753518,2.3270432999999997,4.1,18742.0,"Passage du Havre, 109 Rue Saint-Lazare, 75009 Paris, France",https://www.fnac.com/Paris-Saint-Lazare/Fnac-Saint-Lazare/cl72/w-4?utm_source=gmb,+33 825 02 00 20,,,True,"['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20097:00\u202fPM']"
Galerie Vivienne,"['shopping_mall', 'historical_landmark', 'book_store', 'historical_place', 'tourist_attraction', 'art_gallery', 'home_goods_store', 'clothing_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8663533,2.3394854,4.5,5563.0,"4 Rue des Petits Champs, 75002 Paris, France",http://www.galerie-vivienne.com/,,,Covered mall built in 1823 to plans by architect François-Jean Delanno & now housing luxury shops.,True,"['Monday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 8:30\u202fAM\u2009–\u20098:00\u202fPM']"
FNAC Paris - Forum des Halles,"['department_store', 'cell_phone_store', 'electronics_store', 'book_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",48.8617672,2.3465070999999997,3.9,18527.0,"1-7, rue Pierre Lescot, Portes Berger, Galerie commerciale, Lescot, 75001 Paris, France",https://www.fnac.com/Paris-Forum-des-Halles/Fnac-Forum-des-Halles/cl74/w-4?utm_source=gmb,+33 825 02 00 20,,,True,"['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20098:00\u202fPM']"
Gibert,"['book_store', 'store', 'point_of_interest', 'establishment']",48.8505867,2.3425186,4.5,8776.0,"26 Bd Saint-Michel, 75006 Paris, France",https://www.gibert.com/stores/paris-vi-gibert-joseph-librairie,+33 1 44 41 88 88,,"General bookstore offering new & used books, mangas, comics & vinyls, depending on the store.",True,"['Monday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Sunday: Closed']"
Hermès,"['book_store', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']",48.851562099999995,2.3276854,4.2,2570.0,"17 Rue de Sèvres, 75006 Paris, France",http://www.hermes.com/,+33 1 42 22 80 83,,"High-end retailer carrying the luxury brand's apparel, handbags, scarves & other accessories.",True,"['Monday: 10:30\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']"
Halle Saint-Pierre,"['cultural_center', 'book_store', 'museum', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.88474670000001,2.3445131999999997,4.5,1989.0,"2 Rue Ronsard, 75018 Paris, France",http://www.hallesaintpierre.org/,+33 1 42 58 72 89,,"Art museum for contemporary & experimental paintings & graphic art, plus avant-garde concerts.",True,"['Monday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 12:00\u2009–\u20096:00\u202fPM']"
Smith & Son,"['book_store', 'grocery_store', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",48.8662472,2.3249978,4.5,2935.0,"248 Rue de Rivoli, 75001 Paris, France",http://www.smithandson.com/,+33 1 53 45 84 40,PRICE_LEVEL_MODERATE,,True,"['Monday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Sunday: 12:30\u2009–\u20097:00\u202fPM']"
Fnac,"['book_store', 'store', 'point_of_interest', 'establishment']",48.861303299999996,2.3473482999999997,3.1,230.0,"Les Halles, 75001 Paris, France",https://www.fnac.com/Paris-Gare-Chatelet/Fnac-Paris-Gare-Chatelet/cl503/w-4,,,,True,"['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20097:00\u202fPM']"
Théâtre du Rond-Point,"['performing_arts_theater', 'book_store', 'event_venue', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.867764900000005,2.3107975,4.5,2085.0,"2Bis Av. Franklin Delano Roosevelt, 75008 Paris, France",http://www.theatredurondpoint.fr/,+33 1 44 95 98 21,,,True,"['Monday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20097:00\u202fPM']"
OFR Bookshop,"['book_store', 'store', 'point_of_interest', 'establishment']",48.8657841,2.3613284,3.7,818.0,"20 Rue Dupetit-Thouars, 75003 Paris, France",http://instagram.com/ofrparis,,,"Indie bookstore with a focus on design, art & photography titles, plus gifts & a small art gallery.",True,"['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20098:00\u202fPM']"
Librairie Galignani,"['book_store', 'store', 'point_of_interest', 'establishment']",48.8650617,2.3285465999999997,4.5,1203.0,"224 Rue de Rivoli, 75001 Paris, France",https://www.galignani.fr/,+33 1 42 60 76 07,,,True,"['Monday: 10:30\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u20097:30\u202fPM', 'Sunday: Closed']"
Book Off Châtelet,"['movie_rental', 'book_store', 'store', 'point_of_interest', 'establishment']",48.858834699999996,2.3498779,4.5,983.0,"9 Rue Saint-Martin, 75004 Paris, France",https://lingonbook.fr/,+33 1 40 29 90 68,,,True,"['Monday: 11:00\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Sunday: 12:00\u2009–\u20097:30\u202fPM']"
JUNKUDO Paris,"['book_store', 'store', 'point_of_interest', 'establishment']",48.8654833,2.3336221999999998,4.7,2307.0,"18 Rue des Pyramides, 75001 Paris, France",https://www.junku.fr/,+33 1 42 60 89 12,,,True,"['Monday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']"
FNAC Paris - Gare de l'Est,"['department_store', 'cell_phone_store', 'electronics_store', 'book_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",48.8765979,2.3589103,3.8,2640.0,"Gare de L'Est Place du 11 novembre 1918 Music Railway SNC, 75010 Paris, France",https://www.fnac.com/Paris-Gare-de-l-Est/Fnac-Paris-Gare-de-l-Est/cl231/w-4?utm_source=gmb,+33 825 02 00 20,,,True,"['Monday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20097:00\u202fPM']"
Book Off Quatre-Septembre,"['movie_rental', 'book_store', 'store', 'point_of_interest', 'establishment']",48.868955899999996,2.3354268,4.5,1997.0,"11 Rue Monsigny, 75002 Paris, France",https://lingonbook.fr/,+33 1 42 65 79 73,,,True,"['Monday: 11:00\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Sunday: Closed']"
The Abbey Bookshop,"['book_store', 'store', 'point_of_interest', 'establishment']",48.8517824,2.3445377,4.7,1071.0,"29 Rue de la Parcheminerie, 75005 Paris, France",https://abbeybookshop.org/,+33 1 46 33 16 24,,,True,"['Monday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 1:00\u2009–\u20097:00\u202fPM']"
FNAC Paris - Gare Châtelet,"['department_store', 'cell_phone_store', 'electronics_store', 'book_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",48.861129299999995,2.3475642999999997,4.0,484.0,"Gare RER A, 75001 Paris, France",https://www.fnac.com/Paris-Gare-Chatelet/Fnac-Paris-Gare-Chatelet/cl503/w-4?utm_source=gmb,,,,True,"['Monday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']"
Librairie La Procure,"['book_store', 'store', 'point_of_interest', 'establishment']",48.8501931,2.332404,4.6,1757.0,"3 Rue de Mézières, 75006 Paris, France",https://www.laprocure.com/,+33 1 45 48 20 25,,,True,"['Monday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:30\u202fPM', 'Sunday: Closed']"
Henri Cartier Bresson Foundation,"['book_store', 'museum', 'store', 'point_of_interest', 'establishment']",48.863020600000006,2.3602071,4.2,832.0,"79 Rue des Archives, 75003 Paris, France",http://www.henricartierbresson.org/,+33 1 40 61 50 50,,,True,"['Monday: Closed', 'Tuesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20097:00\u202fPM']"
Grand Palais,"['museum', 'monument', 'tourist_attraction', 'art_gallery', 'point_of_interest', 'establishment']",48.866109099999996,2.3124544,4.5,24908.0,"75008 Paris, France",https://www.grandpalais.fr/,+33 1 40 13 48 00,,"Art nouveau hall with domed glass roof, built in 1900, hosting exhibitions and cultural events.",True,"['Monday: Closed', 'Tuesday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u20098:00\u202fPM']"
Galerie Vivienne,"['shopping_mall', 'historical_landmark', 'tourist_attraction', 'art_gallery', 'book_store', 'home_goods_store', 'historical_place', 'clothing_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8663533,2.3394854,4.5,5563.0,"4 Rue des Petits Champs, 75002 Paris, France",http://www.galerie-vivienne.com/,,,Covered mall built in 1823 to plans by architect François-Jean Delanno & now housing luxury shops.,True,"['Monday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 8:30\u202fAM\u2009–\u20098:00\u202fPM']"
59 Rivoli,"['cultural_center', 'tourist_attraction', 'art_gallery', 'point_of_interest', 'establishment']",48.859218399999996,2.3456696,4.7,6793.0,"59 Rue de Rivoli, 75001 Paris, France",http://www.59rivoli.org/,,,"Art collective in a former squat, with 30 artists' studios, an exhibition space & a concert venue.",True,"['Monday: Closed', 'Tuesday: 1:00\u2009–\u20098:00\u202fPM', 'Wednesday: 1:00\u2009–\u20098:00\u202fPM', 'Thursday: 1:00\u2009–\u20098:00\u202fPM', 'Friday: 1:00\u2009–\u20098:00\u202fPM', 'Saturday: 1:00\u2009–\u20098:00\u202fPM', 'Sunday: 1:00\u2009–\u20098:00\u202fPM']"
La Gaîté Lyrique,"['cultural_center', 'brunch_restaurant', 'coffee_shop', 'cafe', 'concert_hall', 'auditorium', 'art_gallery', 'museum', 'food_store', 'store', 'restaurant', 'food', 'performing_arts_theater', 'event_venue', 'point_of_interest', 'establishment']",48.8666967,2.353563,4.5,2551.0,"3 bis Rue Papin, 75003 Paris, France",http://www.gaite-lyrique.net/,+33 1 84 74 49 00,,Modern performance venue with a stately 19th-century façade & many events & workshops.,,[]
Climbing District Saint-Lazare,"['yoga_studio', 'fitness_center', 'sports_coaching', 'art_gallery', 'bar', 'sports_complex', 'gym', 'sports_activity_location', 'school', 'health', 'point_of_interest', 'establishment']",48.881766999999996,2.3257347,4.7,387.0,"26bis Rue de Saint-Pétersbourg, 75008 Paris, France",http://www.climbingdistrict.com/,+33 7 69 12 51 33,,,True,"['Monday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200911:00\u202fPM']"
Dali Museum,"['tourist_attraction', 'art_gallery', 'museum', 'point_of_interest', 'establishment']",48.886511899999995,2.3398718,4.5,2932.0,"11 Rue Poulbot, 75018 Paris, France",http://www.daliparis.com/,+33 1 42 64 40 10,,"Permanent exhibition of Salvador Dali's Surrealist art, with a focus on sculptures and engravings.",True,"['Monday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:30\u202fPM']"
Musée Banksy - Paris,"['art_gallery', 'point_of_interest', 'establishment']",48.874595799999994,2.3417344,4.3,2564.0,"44 Rue du Faubourg Montmartre, 75009 Paris, France",https://museebanksy.fr/,+33 1 82 83 28 55,,,True,"['Monday: 12:00\u2009–\u20098:15\u202fPM', 'Tuesday: 12:00\u2009–\u20098:15\u202fPM', 'Wednesday: 12:00\u2009–\u20098:15\u202fPM', 'Thursday: 12:00\u2009–\u20098:15\u202fPM', 'Friday: 12:00\u2009–\u20098:15\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:15\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:15\u202fPM']"
Perrotin,"['art_gallery', 'tourist_attraction', 'museum', 'point_of_interest', 'establishment']",48.860502999999994,2.3647278,4.7,731.0,"76 Rue de Turenne, 75003 Paris, France",https://www.perrotin.com/,+33 1 42 16 79 79,,"2-floor gallery, founded in 1990 & focusing on modern works by mainly French & Asian artists.",True,"['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed']"
Azzedine Alaïa Foundation,"['art_gallery', 'museum', 'point_of_interest', 'establishment']",48.85734480000001,2.3548172,4.6,536.0,"18 Rue de la Verrerie, 75004 Paris, France",http://www.fondationazzedinealaia.org/,+33 1 87 44 54 60,,,True,"['Monday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20097:00\u202fPM']"
Restaurant OGATA | Sabo,"['japanese_restaurant', 'gift_shop', 'cultural_center', 'night_club', 'bakery', 'tea_house', 'art_gallery', 'dessert_shop', 'confectionery', 'bar', 'food_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8610097,2.3635511000000005,4.2,529.0,"16 Rue Debelleyme, 75003 Paris, France",https://ogata.com/paris/,+33 1 80 97 76 80,,,True,"['Monday: 11:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u200911:30\u202fPM']"
Yvon Lambert Gallery,"['book_store', 'art_gallery', 'store', 'point_of_interest', 'establishment']",48.862630200000005,2.3660326,4.8,341.0,"14 Rue des Filles du Calvaire, 75003 Paris, France",http://www.yvon-lambert.com/,+33 1 45 66 55 84,,"Exhibitions by innovative modern artists in an art dealer & collector's airy, glass-roofed gallery.",True,"['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 2:00\u2009–\u20097:00\u202fPM']"
